Session,Song,Outliers
1,Tydyy,4
1,Tydyy,0
1,Tydyy,2
1,Tydyy,2
1,Tydyy,0
1,Tydyy,0
1,Tydyy,4
1,Tydyy,0
1,Tydyy,10
1,Tydyy,8
1,Tydyy,6
1,Tydyy,0
1,Tydyy,4
1,Tydyy,2
1,Tydyy,2
1,Tydyy,3
1,Tydyy,0
1,Tydyy,2
1,Tydyy,2
1,Uulaa,0
1,Uulaa,0
1,Uulaa,2
1,Uulaa,0
1,Uulaa,0
1,Uulaa,3
1,Uulaa,9
1,Uulaa,2
1,Uulaa,4
1,Uulaa,2
1,Uulaa,5
1,Uulaa,0
1,Uulaa,7
1,Uulaa,0
1,Uulaa,6
1,Uulaa,4
1,Uulaa,3
1,Uulaa,0
1,Uulaa,4
2,Tydyy,2
2,Tydyy,0
2,Tydyy,2
2,Tydyy,2
2,Tydyy,0
2,Tydyy,0
2,Tydyy,0
2,Tydyy,8
2,Tydyy,7
2,Tydyy,2
2,Tydyy,4
2,Tydyy,2
2,Tydyy,17
2,Tydyy,0
2,Tydyy,0
2,Tydyy,3
2,Tydyy,4
2,Tydyy,0
2,Tydyy,5
2,Uulaa,4
2,Uulaa,2
2,Uulaa,15
2,Uulaa,0
2,Uulaa,0
2,Uulaa,0
2,Uulaa,0
2,Uulaa,0
2,Uulaa,2
2,Uulaa,4
2,Uulaa,0
2,Uulaa,0
2,Uulaa,8
2,Uulaa,4
2,Uulaa,0
2,Uulaa,2
2,Uulaa,0
2,Uulaa,2
2,Uulaa,3
3,Tydyy,0
3,Tydyy,2
3,Tydyy,9
3,Tydyy,0
3,Tydyy,4
3,Tydyy,2
3,Tydyy,2
3,Tydyy,0
3,Tydyy,6
3,Tydyy,2
3,Tydyy,10
3,Tydyy,0
3,Tydyy,0
3,Tydyy,6
3,Tydyy,4
3,Tydyy,5
3,Tydyy,0
3,Tydyy,2
3,Tydyy,2
3,Uulaa,0
3,Uulaa,0
3,Uulaa,6
3,Uulaa,0
3,Uulaa,0
3,Uulaa,0
3,Uulaa,0
3,Uulaa,0
3,Uulaa,2
3,Uulaa,4
3,Uulaa,6
3,Uulaa,5
3,Uulaa,5
3,Uulaa,6
3,Uulaa,7
3,Uulaa,2
3,Uulaa,0
3,Uulaa,4
3,Uulaa,11